method_name,dataset_name,train_id,ap_0.5,train_cell_num
cellpose-cyto2,cellpose_specialized,0,0.8260134919123217,90
cellpose-cyto2,cellpose_specialized,1,0.8121679018844258,93
cellpose-cyto2,cellpose_specialized,10,0.8613387454639782,68
cellpose-cyto2,cellpose_specialized,11,0.8217436237768694,94
cellpose-cyto2,cellpose_specialized,12,0.711770199239254,124
cellpose-cyto2,cellpose_specialized,13,0.8246595317667181,84
cellpose-cyto2,cellpose_specialized,14,0.8402539166537198,88
cellpose-cyto2,cellpose_specialized,15,0.780771789225665,146
cellpose-cyto2,cellpose_specialized,16,0.8528864979743958,149
cellpose-cyto2,cellpose_specialized,17,0.8070623197338798,90
cellpose-cyto2,cellpose_specialized,18,0.826044575734572,96
cellpose-cyto2,cellpose_specialized,19,0.8042704354632985,90
cellpose-cyto2,cellpose_specialized,2,0.8111236095428467,76
cellpose-cyto2,cellpose_specialized,20,0.8759479305960916,115
cellpose-cyto2,cellpose_specialized,21,0.85849590735002,98
cellpose-cyto2,cellpose_specialized,22,0.8667880296707153,33
cellpose-cyto2,cellpose_specialized,23,0.8556578647006642,75
cellpose-cyto2,cellpose_specialized,24,0.8336546095934781,49
cellpose-cyto2,cellpose_specialized,25,0.8541491736065258,62
cellpose-cyto2,cellpose_specialized,26,0.8648302826014432,48
cellpose-cyto2,cellpose_specialized,27,0.8601347804069519,45
cellpose-cyto2,cellpose_specialized,28,0.8085470714352347,55
cellpose-cyto2,cellpose_specialized,29,0.8572337410666726,119
cellpose-cyto2,cellpose_specialized,3,0.7715769870714708,95
cellpose-cyto2,cellpose_specialized,30,0.849077744917436,77
cellpose-cyto2,cellpose_specialized,31,0.8554703484882008,35
cellpose-cyto2,cellpose_specialized,32,0.8846529884771868,58
cellpose-cyto2,cellpose_specialized,33,0.8416728214784102,54
cellpose-cyto2,cellpose_specialized,34,0.8656961376016791,42
cellpose-cyto2,cellpose_specialized,35,0.871966611255299,40
cellpose-cyto2,cellpose_specialized,36,0.8299888399514285,30
cellpose-cyto2,cellpose_specialized,37,0.8309964808550748,46
cellpose-cyto2,cellpose_specialized,38,0.868615285916762,34
cellpose-cyto2,cellpose_specialized,39,0.8464149290865118,111
cellpose-cyto2,cellpose_specialized,4,0.7996002930131826,97
cellpose-cyto2,cellpose_specialized,40,0.8729063055732034,50
cellpose-cyto2,cellpose_specialized,41,0.8270651047879999,63
cellpose-cyto2,cellpose_specialized,42,0.8185635209083557,99
cellpose-cyto2,cellpose_specialized,43,0.8289323151111603,118
cellpose-cyto2,cellpose_specialized,44,0.8341937390240756,72
cellpose-cyto2,cellpose_specialized,45,0.8073471676219593,52
cellpose-cyto2,cellpose_specialized,46,0.8390729318965565,25
cellpose-cyto2,cellpose_specialized,47,0.8255410356955095,23
cellpose-cyto2,cellpose_specialized,48,0.8232287601991133,27
cellpose-cyto2,cellpose_specialized,49,0.853912050073797,13
cellpose-cyto2,cellpose_specialized,5,0.8006259528073397,124
