opt_mask_nms,box_nms,mask_nms
3.5325541496276855,2.5272879600524902,38.49487233161926
3.508843421936035,2.500739336013794,39.61433672904968
3.507230043411255,2.4748239517211914,38.37303352355957
3.4990782737731934,2.5266146659851074,38.54194903373718
3.9757423400878906,2.493086099624634,37.96545100212097
3.464270830154419,2.5297820568084717,38.223204135894775
3.4780497550964355,3.042217493057251,38.433735609054565
3.4273080825805664,2.566324234008789,39.10988163948059
3.5135276317596436,3.0504536628723145,38.616605043411255
3.4318654537200928,2.6021482944488525,39.00600051879883
