train_dataset_name,TSN-1,TSN-2,TSN-3,TSN-4,TSN-5,TSN-6,TSN-7,TSN-8,TSN-9,TSN-10,TSN-11,TSN-12,TSN-13,TSN-14
TSN-1,0.8145668506622314,0.7405053377151489,0.8321468234062195,0.7312533855438232,0.7887861728668213,0.7225919961929321,0.8674743175506592,0.6899444460868835,0.7932552695274353,0.8377270102500916,0.7454574704170227,0.8243565559387207,0.830984890460968,0.8288962841033936
TSN-2,0.8153325915336609,0.6882618069648743,0.7502305507659912,0.6771769523620605,0.7415098547935486,0.5921435356140137,0.825118899345398,0.5910646319389343,0.7336174845695496,0.8071219325065613,0.7538795471191406,0.7483847141265869,0.583601176738739,0.7840813994407654
TSN-3,0.8254404067993164,0.7192250490188599,0.8137339949607849,0.7635565996170044,0.7843856811523438,0.6926413178443909,0.8378042578697205,0.6597652435302734,0.8099179267883301,0.8202511072158813,0.7627138495445251,0.7767691016197205,0.7507505416870117,0.8175925016403198
TSN-4,0.7580934762954712,0.6572984457015991,0.7865265607833862,0.7282938361167908,0.7369865775108337,0.6261374354362488,0.7925425171852112,0.6240358948707581,0.8029102683067322,0.7634786367416382,0.6591218113899231,0.7090973854064941,0.7336342930793762,0.7792193293571472
TSN-5,0.803990364074707,0.6861150860786438,0.7881832718849182,0.7768439650535583,0.8095431327819824,0.6470794081687927,0.8652772307395935,0.6229976415634155,0.8007040023803711,0.8101288080215454,0.7272714972496033,0.7260470986366272,0.7173262238502502,0.7857831120491028
TSN-6,0.818505585193634,0.7217286825180054,0.836654007434845,0.7038885951042175,0.7327458262443542,0.7344536185264587,0.8413869142532349,0.7078877687454224,0.8332391977310181,0.8366866111755371,0.7375722527503967,0.819303035736084,0.8429590463638306,0.8353284001350403
TSN-7,0.6967778205871582,0.6472897529602051,0.79084712266922,0.7357941269874573,0.723926305770874,0.5997308492660522,0.8263646364212036,0.6623393893241882,0.7898080348968506,0.7396228313446045,0.5894418358802795,0.7426030039787292,0.7057551741600037,0.7944101691246033
TSN-8,0.8032323122024536,0.7063388824462891,0.8283304572105408,0.7455265522003174,0.7987920641899109,0.700844407081604,0.8517584800720215,0.6888208389282227,0.8260473012924194,0.8564972877502441,0.7473936080932617,0.830220639705658,0.7962800860404968,0.841748833656311
TSN-9,0.7985830903053284,0.65731281042099,0.7765490412712097,0.7211520671844482,0.7512645125389099,0.6473188996315002,0.7973412871360779,0.637827455997467,0.8327080607414246,0.8181170225143433,0.7356861233711243,0.7573752403259277,0.7642703056335449,0.7911427617073059
TSN-10,0.7658618688583374,0.6474683284759521,0.781567394733429,0.668839156627655,0.7186692357063293,0.6348966360092163,0.5759255290031433,0.5995025634765625,0.762570858001709,0.8347318172454834,0.7366719841957092,0.7824838757514954,0.6983676552772522,0.7935540080070496
TSN-11,0.8207850456237793,0.7116513252258301,0.7989668846130371,0.7311674952507019,0.7703726291656494,0.6604359149932861,0.8193591833114624,0.6542242765426636,0.769338846206665,0.8287551403045654,0.7809345126152039,0.7698144316673279,0.7286146283149719,0.7880290150642395
TSN-12,0.8132040500640869,0.6955051422119141,0.8172791600227356,0.7490631341934204,0.7704195380210876,0.6956512331962585,0.836824893951416,0.6737065315246582,0.8125807046890259,0.8398007154464722,0.7711398005485535,0.807982861995697,0.77003014087677,0.8278790712356567
TSN-13,0.7469362616539001,0.7049128413200378,0.8055682182312012,0.7343119382858276,0.7599382400512695,0.6569140553474426,0.8342164158821106,0.6696519255638123,0.8059592247009277,0.8109796047210693,0.593489408493042,0.7840704917907715,0.8269441723823547,0.8191506266593933
TSN-14,0.8359883427619934,0.7161585092544556,0.8086237907409668,0.741010308265686,0.7688121795654297,0.7255910634994507,0.8434500694274902,0.6834912300109863,0.8428416848182678,0.8420441150665283,0.7532679438591003,0.8042619228363037,0.8155546188354492,0.8371259570121765
